"delta"	"PsiS=-1.3"	"PsiS=-1.23249"	"PsiS=-1.2"	"PsiS=-1.1"	"PsiS=-1."	"PsiS=-0.9"	"PsiS=-0.8"	"PsiS=-0.7"	"PsiS=-0.6"	"PsiS=-0.5"
1	1.5462e-05	1.4688e-05	1.4335e-05	1.3323e-05	1.2423e-05	1.1625e-05	1.0925e-05	1.0320e-05	9.8039e-06	9.3736e-06
2	5.5875e-05	5.3588e-05	5.2540e-05	4.9527e-05	4.6819e-05	4.4405e-05	4.2266e-05	4.0415e-05	3.8818e-05	3.7482e-05
3	1.1735e-04	1.1333e-04	1.1149e-04	1.0619e-04	1.0143e-04	9.7194e-05	9.3434e-05	9.0167e-05	8.7363e-05	8.5011e-05
4	2.0149e-04	1.9542e-04	1.9264e-04	1.8464e-04	1.7747e-04	1.7110e-04	1.6547e-04	1.6058e-04	1.5638e-04	1.5288e-04
5	3.0983e-04	3.0121e-04	2.9728e-04	2.8595e-04	2.7581e-04	2.6680e-04	2.5888e-04	2.5197e-04	2.4608e-04	2.4115e-04
6	4.4276e-04	4.3106e-04	4.2568e-04	4.1027e-04	3.9647e-04	3.8420e-04	3.7339e-04	3.6401e-04	3.5600e-04	3.4927e-04
7	6.0027e-04	5.8486e-04	5.7781e-04	5.5746e-04	5.3921e-04	5.2295e-04	5.0863e-04	4.9617e-04	4.8554e-04	4.7664e-04
8	7.8214e-04	7.6255e-04	7.5355e-04	7.2747e-04	7.0394e-04	6.8291e-04	6.6436e-04	6.4818e-04	6.3434e-04	6.2273e-04
9	9.8809e-04	9.6400e-04	9.5285e-04	9.2036e-04	8.9079e-04	8.6419e-04	8.4060e-04	8.1998e-04	8.0228e-04	7.8745e-04
10	1.2173e-03	1.1888e-03	1.1754e-03	1.1361e-03	1.0999e-03	1.0670e-03	1.0376e-03	1.0118e-03	9.8947e-04	9.7072e-04
11	1.4683e-03	1.4359e-03	1.4205e-03	1.3746e-03	1.3314e-03	1.2916e-03	1.2556e-03	1.2238e-03	1.1961e-03	1.1727e-03
12	1.7386e-03	1.7037e-03	1.6868e-03	1.6351e-03	1.5851e-03	1.5381e-03	1.4950e-03	1.4563e-03	1.4224e-03	1.3936e-03
13	2.0243e-03	1.9893e-03	1.9719e-03	1.9164e-03	1.8606e-03	1.8066e-03	1.7559e-03	1.7097e-03	1.6687e-03	1.6336e-03
14	2.3201e-03	2.2890e-03	2.2724e-03	2.2166e-03	2.1569e-03	2.0966e-03	2.0384e-03	1.9843e-03	1.9356e-03	1.8932e-03
15	2.6193e-03	2.5975e-03	2.5839e-03	2.5329e-03	2.4724e-03	2.4076e-03	2.3426e-03	2.2802e-03	2.2230e-03	2.1726e-03
16	2.9138e-03	2.9081e-03	2.9006e-03	2.8615e-03	2.8051e-03	2.7386e-03	2.6679e-03	2.5976e-03	2.5314e-03	2.4720e-03
17	3.1936e-03	3.2132e-03	3.2154e-03	3.1977e-03	3.1519e-03	3.0878e-03	3.0137e-03	2.9363e-03	2.8610e-03	2.7919e-03
18	3.4482e-03	3.5037e-03	3.5202e-03	3.5359e-03	3.5093e-03	3.4533e-03	3.3791e-03	3.2961e-03	3.2118e-03	3.1323e-03
19	3.6659e-03	3.7695e-03	3.8058e-03	3.8692e-03	3.8726e-03	3.8323e-03	3.7626e-03	3.6763e-03	3.5838e-03	3.4936e-03
20	3.8344e-03	4.0000e-03	4.0621e-03	4.1901e-03	4.2368e-03	4.2215e-03	4.1625e-03	4.0763e-03	3.9770e-03	3.8759e-03
21	3.9418e-03	4.1838e-03	4.2786e-03	4.4901e-03	4.5956e-03	4.6170e-03	4.5766e-03	4.4951e-03	4.3909e-03	4.2794e-03
22	3.9763e-03	4.3097e-03	4.4444e-03	4.7604e-03	4.9423e-03	5.0142e-03	5.0020e-03	4.9313e-03	4.8252e-03	4.7039e-03
23	3.9273e-03	4.3669e-03	4.5488e-03	4.9914e-03	5.2696e-03	5.4080e-03	5.4358e-03	5.3833e-03	5.2793e-03	5.1497e-03
24	3.7856e-03	4.3451e-03	4.5815e-03	5.1735e-03	5.5697e-03	5.7927e-03	5.8741e-03	5.8490e-03	5.7524e-03	5.6163e-03
25	3.5438e-03	4.2353e-03	4.5329e-03	5.2971e-03	5.8342e-03	6.1622e-03	6.3130e-03	6.3262e-03	6.2433e-03	6.1037e-03
26	3.1969e-03	4.0301e-03	4.3947e-03	5.3531e-03	6.0548e-03	6.5095e-03	6.7477e-03	6.8121e-03	6.7509e-03	6.6115e-03
27	2.7421e-03	3.7236e-03	4.1602e-03	5.3328e-03	6.2229e-03	6.8279e-03	7.1734e-03	7.3039e-03	7.2736e-03	7.1392e-03
28	2.1793e-03	3.3122e-03	3.8243e-03	5.2283e-03	6.3302e-03	7.1100e-03	7.5846e-03	7.7979e-03	7.8098e-03	7.6860e-03
29	1.5110e-03	2.7943e-03	3.3838e-03	5.0331e-03	6.3687e-03	7.3484e-03	7.9756e-03	8.2905e-03	8.3574e-03	8.2514e-03
30	7.4204e-04	2.1708e-03	2.8377e-03	4.7415e-03	6.3310e-03	7.5357e-03	8.3404e-03	8.7777e-03	8.9142e-03	8.8345e-03
