"delta"	"Lambda=0.15"	"Lambda=0.3"	"Lambda=0.45"	"Lambda=0.6"	"Lambda=0.75"	"Lambda=0.9"	"Lambda=1.05"
1	1.4727e-05	1.4708e-05	1.4691e-05	1.4674e-05	1.4656e-05	1.4639e-05	1.4621e-05
2	5.4308e-05	5.4044e-05	5.3780e-05	5.3518e-05	5.3255e-05	5.2988e-05	5.2730e-05
3	1.1588e-04	1.1506e-04	1.1425e-04	1.1343e-04	1.1262e-04	1.1181e-04	1.1100e-04
4	2.0042e-04	1.9892e-04	1.9743e-04	1.9595e-04	1.9447e-04	1.9300e-04	1.9154e-04
5	3.0878e-04	3.0661e-04	3.0446e-04	3.0232e-04	3.0019e-04	2.9807e-04	2.9597e-04
6	4.4116e-04	4.3834e-04	4.3555e-04	4.3278e-04	4.3002e-04	4.2729e-04	4.2457e-04
7	5.9758e-04	5.9411e-04	5.9067e-04	5.8725e-04	5.8386e-04	5.8050e-04	5.7715e-04
8	7.7812e-04	7.7394e-04	7.6979e-04	7.6567e-04	7.6159e-04	7.5754e-04	7.5352e-04
9	9.8283e-04	9.7783e-04	9.7287e-04	9.6796e-04	9.6308e-04	9.5825e-04	9.5345e-04
10	1.2113e-03	1.2054e-03	1.1995e-03	1.1937e-03	1.1879e-03	1.1822e-03	1.1765e-03
11	1.4628e-03	1.4558e-03	1.4488e-03	1.4419e-03	1.4351e-03	1.4283e-03	1.4216e-03
12	1.7354e-03	1.7272e-03	1.7191e-03	1.7110e-03	1.7030e-03	1.6950e-03	1.6871e-03
13	2.0263e-03	2.0168e-03	2.0074e-03	1.9980e-03	1.9887e-03	1.9795e-03	1.9703e-03
14	2.3317e-03	2.3208e-03	2.3099e-03	2.2992e-03	2.2885e-03	2.2779e-03	2.2674e-03
15	2.6460e-03	2.6336e-03	2.6214e-03	2.6092e-03	2.5971e-03	2.5851e-03	2.5732e-03
16	2.9625e-03	2.9487e-03	2.9350e-03	2.9214e-03	2.9079e-03	2.8945e-03	2.8812e-03
17	3.2732e-03	3.2580e-03	3.2430e-03	3.2281e-03	3.2132e-03	3.1984e-03	3.1837e-03
18	3.5689e-03	3.5525e-03	3.5362e-03	3.5200e-03	3.5039e-03	3.4879e-03	3.4719e-03
19	3.8393e-03	3.8218e-03	3.8044e-03	3.7871e-03	3.7699e-03	3.7528e-03	3.7357e-03
20	4.0736e-03	4.0552e-03	4.0369e-03	4.0187e-03	4.0005e-03	3.9825e-03	3.9646e-03
21	4.2602e-03	4.2412e-03	4.2222e-03	4.2033e-03	4.1846e-03	4.1658e-03	4.1472e-03
22	4.3879e-03	4.3685e-03	4.3491e-03	4.3298e-03	4.3106e-03	4.2915e-03	4.2725e-03
23	4.4457e-03	4.4262e-03	4.4067e-03	4.3873e-03	4.3680e-03	4.3488e-03	4.3296e-03
24	4.4233e-03	4.4039e-03	4.3847e-03	4.3655e-03	4.3463e-03	4.3273e-03	4.3083e-03
25	4.3117e-03	4.2928e-03	4.2741e-03	4.2553e-03	4.2367e-03	4.2181e-03	4.1996e-03
26	4.1033e-03	4.0853e-03	4.0673e-03	4.0493e-03	4.0315e-03	4.0136e-03	3.9959e-03
27	3.7927e-03	3.7757e-03	3.7587e-03	3.7418e-03	3.7250e-03	3.7082e-03	3.6914e-03
28	3.3760e-03	3.3603e-03	3.3447e-03	3.3291e-03	3.3135e-03	3.2980e-03	3.2825e-03
29	2.8521e-03	2.8379e-03	2.8238e-03	2.8097e-03	2.7956e-03	2.7816e-03	2.7676e-03
30	2.2217e-03	2.2092e-03	2.1967e-03	2.1843e-03	2.1719e-03	2.1595e-03	2.1472e-03
