"delta"	"omega=0."	"omega=0.0005"	"omega=0.001"	"omega=0.0015"	"omega=0.002"	"omega=0.0025"	"omega=0.003"	"omega=0.0035"	"omega=0.004"	"omega=0.0045"	"omega=0.005"
1	1.4692e-05	1.4691e-05	1.4690e-05	1.4688e-05	1.4687e-05	1.4685e-05	1.4684e-05	1.4683e-05	1.4681e-05	1.4677e-05	1.4679e-05
2	5.3698e-05	5.3659e-05	5.3623e-05	5.3589e-05	5.3553e-05	5.3517e-05	5.3482e-05	5.3445e-05	5.3411e-05	5.3375e-05	5.3341e-05
3	1.1388e-04	1.1370e-04	1.1352e-04	1.1334e-04	1.1316e-04	1.1297e-04	1.1279e-04	1.1261e-04	1.1242e-04	1.1224e-04	1.1205e-04
4	1.9684e-04	1.9638e-04	1.9591e-04	1.9543e-04	1.9494e-04	1.9445e-04	1.9395e-04	1.9345e-04	1.9294e-04	1.9242e-04	1.9190e-04
5	3.0380e-04	3.0299e-04	3.0213e-04	3.0125e-04	3.0032e-04	2.9936e-04	2.9837e-04	2.9734e-04	2.9627e-04	2.9518e-04	2.9404e-04
6	4.3465e-04	4.3360e-04	4.3242e-04	4.3110e-04	4.2964e-04	4.2805e-04	4.2632e-04	4.2445e-04	4.2245e-04	4.2032e-04	4.1807e-04
7	5.8870e-04	5.8788e-04	5.8663e-04	5.8493e-04	5.8281e-04	5.8028e-04	5.7732e-04	5.7398e-04	5.7023e-04	5.6612e-04	5.6162e-04
8	7.6536e-04	7.6560e-04	7.6468e-04	7.6264e-04	7.5951e-04	7.5532e-04	7.5011e-04	7.4390e-04	7.3675e-04	7.2869e-04	7.1975e-04
9	9.6421e-04	9.6679e-04	9.6672e-04	9.6413e-04	9.5911e-04	9.5176e-04	9.4219e-04	9.3053e-04	9.1686e-04	9.0134e-04	8.8404e-04
10	1.1849e-03	1.1916e-03	1.1929e-03	1.1890e-03	1.1802e-03	1.1669e-03	1.1493e-03	1.1277e-03	1.1024e-03	1.0738e-03	1.0421e-03
11	1.4272e-03	1.4403e-03	1.4431e-03	1.4363e-03	1.4205e-03	1.3964e-03	1.3648e-03	1.3264e-03	1.2820e-03	1.2321e-03	1.1776e-03
12	1.6911e-03	1.7134e-03	1.7174e-03	1.7044e-03	1.6761e-03	1.6340e-03	1.5799e-03	1.5151e-03	1.4411e-03	1.3595e-03	1.2716e-03
13	1.9763e-03	2.0112e-03	2.0148e-03	1.9906e-03	1.9417e-03	1.8714e-03	1.7828e-03	1.6791e-03	1.5630e-03	1.4371e-03	1.3040e-03
14	2.2831e-03	2.3339e-03	2.3345e-03	2.2912e-03	2.2103e-03	2.0981e-03	1.9603e-03	1.8025e-03	1.6296e-03	1.4462e-03	1.2562e-03
15	2.6113e-03	2.6817e-03	2.6744e-03	2.6010e-03	2.4731e-03	2.3017e-03	2.0971e-03	1.8683e-03	1.6235e-03	1.3698e-03	1.1129e-03
16	2.9607e-03	3.0545e-03	3.0318e-03	2.9135e-03	2.7196e-03	2.4687e-03	2.1774e-03	1.8601e-03	1.5292e-03	1.1947e-03	8.6472e-04
17	3.3315e-03	3.4520e-03	3.4035e-03	3.2212e-03	2.9384e-03	2.5847e-03	2.1861e-03	1.7638e-03	1.3353e-03	9.1391e-04	5.0936e-04
18	3.7237e-03	3.8737e-03	3.7851e-03	3.5152e-03	3.1168e-03	2.6356e-03	2.1095e-03	1.5686e-03	1.0355e-03	5.2633e-04	5.1904e-05
19	4.1371e-03	4.3188e-03	4.1713e-03	3.7856e-03	3.2420e-03	2.6081e-03	1.9368e-03	1.2678e-03	6.2888e-04	3.7640e-05	4.9600e-04
20	4.5718e-03	4.7859e-03	4.5562e-03	4.0216e-03	3.3013e-03	2.4906e-03	1.6604e-03	8.6019e-04	1.2086e-04	5.4059e-04	1.1176e-03
21	5.0277e-03	5.2736e-03	4.9329e-03	4.2123e-03	3.2828e-03	2.2742e-03	1.2774e-03	3.4950e-04	4.7793e-04	1.1922e-03	1.7932e-03
22	5.5049e-03	5.7797e-03	5.2936e-03	4.3463e-03	3.1761e-03	1.9534e-03	7.8865e-04	2.5594e-04	1.1532e-03	1.8989e-03	2.5026e-03
23	6.0033e-03	6.3020e-03	5.6301e-03	4.4129e-03	2.9726e-03	1.5257e-03	1.9990e-04	9.4354e-04	1.8875e-03	2.6413e-03	3.2271e-03
24	6.5230e-03	6.8376e-03	5.9338e-03	4.4017e-03	2.6663e-03	9.9274e-04	4.7953e-04	1.6981e-03	2.6630e-03	3.4014e-03	3.9511e-03
25	7.0639e-03	7.3832e-03	6.1954e-03	4.3037e-03	2.2540e-03	3.5969e-04	1.2372e-03	2.5028e-03	3.4619e-03	4.1638e-03	4.6629e-03
