"delta"	"Lambda=0.15"	"Lambda=0.3"	"Lambda=0.45"	"Lambda=0.6"	"Lambda=0.75"	"Lambda=0.9"	"Lambda=1.05"
1	0.388300188797041	1.5318738716781626	3.4000280256948847	5.963707084218227	9.195385177867019	13.068966774683371	17.55969496556322
2	0.13606170678116866	0.5316466760241721	1.169115833445567	2.0323653376266924	3.1066631664522397	4.378506141245113	5.835494467386448
3	0.05261917754877221	0.20543814744353692	0.45140378049241375	0.7840774409933086	1.1975696772382602	1.6864830667662618	2.245862052660888
4	0.02332073272018709	0.0912021822874326	0.20070993038757845	0.34913921185681907	0.5339930947450684	0.7529630990728703	1.0039119421512983
5	0.011573436032862637	0.04534935381267802	0.09998578865033957	0.1742335402053902	0.26692845698528167	0.3769844755370339	0.5033873296448901
6	0.0062783053105324	0.024644771992487744	0.05442953114884351	0.09500385976358644	0.14577717317236183	0.2061942754842009	0.2757328425553182
7	0.0036519035589247088	0.014357847466800817	0.03175883465982562	0.05551564306491163	0.0853075434588797	0.12083111451567313	0.1617991465872627
8	0.00224465431226664	0.008837592735257334	0.01957525299722904	0.03426420665160412	0.052720571014199594	0.0747694608278342	0.10024447657811013
9	0.0014420308415483468	0.005684766041780023	0.012607448810587861	0.022094786928861316	0.034036666841928825	0.048327885093559765	0.06486789589710505
10	0.0009602991864934592	0.0037900626927698687	0.008414983221191491	0.014763823060967346	0.022768268462587497	0.032362791989513626	0.04348452234807869
11	0.0006587310554111075	0.0026025853892231495	0.005784439827289352	0.01015895366910768	0.015682491676894873	0.022313050893044726	0.030010191069043887
12	0.0004631933289509704	0.0018317950134554334	0.004075161608955806	0.007163713429154709	0.011068892553898523	0.015763122738580288	0.021219771127103923
13	0.00033259050819300017	0.0013164589080255594	0.00293125221932864	0.005157266942740991	0.007975425576216414	0.011367254103001635	0.015314860405444258
14	0.00024312772441423828	0.0009631272022767153	0.0021462343845765706	0.0037790894656537653	0.005848723470271855	0.008342545348740566	0.011248329558265926
15	0.000180501416652513	0.0007155720968344084	0.0015957583294846057	0.0028118621691025094	0.004354933637067929	0.006216263193903876	0.008387374471824628
16	0.0001358294212283968	0.0005388461509474986	0.0012024688215270878	0.0021202801922647744	0.0032860225455300417	0.004693593229815033	0.0063370403443914905
17	0.0001034372918729928	0.00041060384887590376	0.0009168633568516188	0.0016176861282308581	0.00250864634829243	0.0035854194022143593	0.004843779280239965
18	0.00007960822567085516	0.0003161968238972947	0.0007064652191122957	0.0012471828622104416	0.001935187564431594	0.002767383876225401	0.0037407415097266182
19	0.0000618533538425069	0.0002458085361644938	0.0005494936792987391	0.0009705833517926427	0.001506797540059055	0.002155900655342707	0.0029157005652924867
20	0.000048473047253227144	0.0001927303755381922	0.00043105294578093715	0.0007617527814524729	0.0011831723404466916	0.0016936839013442625	0.002291688963690878
21	0.00003828613858613464	0.00015229684502465502	0.00034077650241787325	0.0006024904385090484	0.0009362245350289013	0.0013407848452889398	0.001814997219825399
22	0.00003045878541891443	0.00012121210936388242	0.0002713362426726983	0.0004799216828219887	0.0007460729090976678	0.0010689081425310127	0.0014475591104961786
23	0.00002439397142797238	0.0000971148736139503	0.000217478580150457	0.00038481069476515266	0.0005984463967773137	0.0008577302893292762	0.0011620162503367558
24	0.00001965876541127931	0.00007829175893714849	0.00017538910997192628	0.00031044764617366616	0.00048297079524496465	0.0006924684883411685	0.0009384570650757697
25	0.000015935584290143255	0.00006348514180705134	0.00014226639764190673	0.0002519017167976466	0.00039201804135579444	0.0005622468286043995	0.0007622239901105424
26	0.000012989009713921267	0.000051762238471607645	0.00011603143536333947	0.00020551158295250017	0.00031992085682242623	0.00045898058569468806	0.0006224152121097974
27	0.000010642859701788502	0.00004242459414542237	0.00009512665218085961	0.00016853274925050194	0.00026242884118086773	0.0003766030983163222	0.000510845879989884
28	8.764130810938556e-6	0.000034944657392426034	0.00007837498981634527	0.00013889013614571563	0.00021632668534929094	0.0003105227904223231	0.00042131815171065197
29	7.2516116586537094e-6	0.000028920780272972726	0.0000648798628562103	0.00011500234944576568	0.00017916285189588374	0.00025723709279541665	0.00034910189450909325
30	6.027716439889053e-6	0.000024044926395443175	0.000053953331206511954	0.00009565544009168847	0.00014905456275101454	0.00021405480204510484	0.000290561046749767
