"delta"	"PiD=50."	"PiD=100."	"PiD=150."	"PiD=200."	"PiD=250."	"PiD=300."	"PiD=350."
1	0.5931909314084426	1.1863818628168852	1.779572794225332	2.3727637256337704	2.9659546570422135	3.559145588450664	4.152336519859083
2	0.278036540161551	0.556073080323102	0.8341096204846608	1.112146160646204	1.3901827008077696	1.6682192409693215	1.9462557811308712
3	0.1296915989840465	0.259383197968093	0.3890747969521401	0.518766395936186	0.6484579949202346	0.7781495939042802	0.9078411928883293
4	0.06433111049399377	0.12866222098798755	0.1929933314819816	0.2573244419759751	0.3216555524699688	0.3859866629639632	0.4503177734579571
5	0.03432851196435926	0.06865702392871852	0.10298553589307703	0.13731404785743703	0.1716425598217959	0.20597107178615406	0.24029958375051425
6	0.019593187031435567	0.039186374062871135	0.058779561094306695	0.07837274812574227	0.09796593515717787	0.11755912218861339	0.13715230922004876
7	0.011837776308179353	0.023675552616358706	0.035513328924538	0.04735110523271741	0.05918888154089642	0.071026657849076	0.08286443415725542
8	0.007495526011073731	0.014991052022147462	0.022486578033221346	0.029982104044294924	0.03747763005536878	0.04497315606644269	0.052468682077516246
9	0.004932505705783655	0.00986501141156731	0.014797517117350903	0.01973002282313462	0.024662528528918048	0.029595034234701806	0.034527539940485484
10	0.0033509166474501497	0.006701833294900299	0.010052749942350468	0.013403666589800599	0.016754583237250792	0.020105499884700936	0.02345641653215108
11	0.0023377416736954752	0.0046754833473909505	0.007013225021086386	0.009350966694781901	0.01168870836847736	0.014026450042172772	0.016364191715868205
12	0.0016678267855096342	0.0033356535710192684	0.0050034803565288995	0.006671307142038537	0.008339133927548195	0.010006960713057799	0.011674787498567492
13	0.0012127768653609039	0.0024255537307218077	0.0036383305960827205	0.004851107461443615	0.006063884326804499	0.007276661192165441	0.008489438057526335
14	0.0008964489580420784	0.0017928979160841568	0.0026893468741262545	0.0035857958321683136	0.004482244790210395	0.005378693748252509	0.006275142706294544
15	0.000672118371922199	0.001344236743844398	0.002016355115766597	0.002688473487688796	0.0033605918596109913	0.004032710231533194	0.004704828603455397
16	0.000510242048268112	0.001020484096536224	0.001530726144804332	0.002040968193072448	0.0025512102413405647	0.003061452289608664	0.0035716943378767785
17	0.0003916422368685824	0.0007832844737371648	0.0011749267106057457	0.0015665689474743296	0.0019582111843429208	0.0023498534212114913	0.002741495658080084
18	0.0003035765966099373	0.0006071531932198746	0.0009107297898298044	0.0012143063864397492	0.0015178829830496735	0.0018214595796596088	0.0021250361762695487
19	0.00023740183064772504	0.0004748036612954501	0.0007122054919431767	0.0009496073225909002	0.0011870091532386283	0.0014244109838863533	0.0016618128145340755
20	0.00018714597861258897	0.00037429195722517793	0.0005614379358377702	0.0007485839144503559	0.0009357298930629486	0.0011228758716755403	0.0013100218502881333
21	0.00014861414146244542	0.00029722828292489084	0.00044584242438733474	0.0005944565658497817	0.0007430707073122242	0.0008916848487746695	0.0010402989902371146
22	0.00011881569145866145	0.0002376313829173229	0.0003564470743759815	0.0004752627658346458	0.0005940784572933042	0.000712894148751963	0.000831709840210632
23	0.00009558989591685014	0.0001911797918337003	0.00028676968775054817	0.0003823595836674006	0.00047794947958424875	0.0005735393755010963	0.0006691292714179478
24	0.00007735668373689164	0.0001547133674737833	0.0002320700512106732	0.0003094267349475666	0.0003867834186844552	0.0004641401024213464	0.0005414967861582353
25	0.00006294791237556321	0.00012589582475112642	0.00018884373712668817	0.00025179164950225283	0.0003147395618778132	0.00037768747425337635	0.00044063538662893854
26	0.00005149136714406273	0.00010298273428812546	0.0001544741014321885	0.00020596546857625092	0.00025745683572031585	0.000308948202864377	0.0003604395700084431
27	0.000042329882407909885	0.00008465976481581977	0.0001269896472237301	0.00016931952963163954	0.00021164941203955038	0.0002539792944474602	0.00029630917685536924
28	0.00003496421661696093	0.00006992843323392187	0.00010489264985088244	0.00013985686646784373	0.00017482108308480517	0.00020978529970176488	0.000244749516318727
29	0.00002901222152799864	0.00005802444305599728	0.00008703666458399573	0.00011604888611199456	0.00014506110763999366	0.00017407332916799146	0.00020308555069599096
30	0.000024179337317742474	0.00004835867463548495	0.00007253801195322785	0.0000967173492709699	0.00012089668658871297	0.0001450760239064557	0.00016925536122419738
