"delta"	"PsiS=-1.3"	"PsiS=-1.23249"	"PsiS=-1.2"	"PsiS=-1.1"	"PsiS=-1."	"PsiS=-0.9"	"PsiS=-0.8"	"PsiS=-0.7"	"PsiS=-0.6"	"PsiS=-0.5"
1	4.142042025764625	3.7993740571807297	3.6370265920149967	3.1488374695945742	2.6801054845594114	2.234016764682435	1.8143694623018565	1.4255818636746458	1.072630438895571	0.7608995730860973
2	1.9257863407244664	1.7808182204660077	1.7110288939451357	1.4970292207327947	1.2860025604179686	1.0805069689386584	0.8834311541573252	0.6979528359982317	0.5274614949571467	0.37544235906984424
3	0.8984465814461831	0.8306719650415186	0.7979812758907876	0.6975686011947911	0.5984333033712246	0.5019358169018575	0.40955312235398006	0.3228480404756352	0.2434263445799125	0.1728823022666621
4	0.4463822221938529	0.4120393764996952	0.39549721902968793	0.34480124664921113	0.29495264605201277	0.24665781109703516	0.20065857054617398	0.15771553487844606	0.11858762710934412	0.08400842031395218
5	0.2384814242867386	0.21987336634780252	0.2109202843436514	0.1835302970082226	0.15667996847541446	0.13075534152679852	0.10615264571918721	0.08326947057569582	0.062494670815522034	0.04419734939612364
6	0.1361793472743905	0.1254939301645819	0.12035343755057275	0.10463410796838488	0.08924044274417339	0.0743984445434658	0.060336652862910616	0.047281173884383465	0.035450256379335875	0.02504859515444924
7	0.08226109900799669	0.07582069633657279	0.0727195689118857	0.06322792864836331	0.05392433638226224	0.04495006806539451	0.03644673245570395	0.028553232439655015	0.02140255452848335	0.015118489999373009
8	0.05204625832662743	0.04800868060084658	0.04606085607273259	0.040086282537937765	0.03421417104858852	0.028537919841931887	0.023150789502472204	0.018143881851109888	0.013604053997093047	0.009611830399481588
9	0.03420523759838914	0.03159259336586684	0.03032862905454412	0.026438781727862574	0.022598968690096928	0.018873792728901134	0.01532779698337788	0.012024014184779004	0.00902249236062377	0.006378839896085472
10	0.02319672315412942	0.021462551107369637	0.020620470454184844	0.018017511808426492	0.015432887547538661	0.01291287866385862	0.01050393596017076	0.008251570677912105	0.006199236438440624	0.00438723464898441
11	0.016148085401418582	0.014973188102856116	0.014400086168670601	0.012618884543666617	0.010837244117202764	0.009089200270643038	0.007409202153238507	0.005831222953657763	0.004387863910213478	0.003109478986104033
12	0.011491640134340725	0.010682398080887338	0.010285544956116133	0.009044143955593454	0.007791608898409828	0.006553441374386344	0.005355769042332378	0.004224608397287979	0.0031851177226330744	0.0022608642759200204
