"delta"	"omega=0."	"omega=0.0005"	"omega=0.001"	"omega=0.0015"	"omega=0.002"	"omega=0.0025"	"omega=0.003"	"omega=0.0035"	"omega=0.004"	"omega=0.0045"	"omega=0.005"
1	3.8008694052023264	3.800381818232779	3.79989430109731	3.7994068537859467	3.798919476288473	3.7984321685948768	3.797944930694975	3.797457762578818	3.7969706642362024	3.7964836356570824	3.7959966768312823
2	1.7860788811844075	1.7843450351302341	1.7826131096364204	1.780883102651077	1.7791550121239277	1.777428836006257	1.7757045722509008	1.7739822188123884	1.7722617736466868	1.7705432347114722	1.7688265999659731
3	0.8373415891199903	0.8351369482109829	0.8329392324904457	0.830748420769059	0.8285644919039118	0.8263874247986651	0.8242171984035808	0.8220537917155419	0.8198971837782346	0.8177473536821247	0.8156042805645477
4	0.41851298527119657	0.4163655945801639	0.41423186961822783	0.412111723474174	0.4100050696660158	0.40791182214126	0.40583189527722113	0.40376520388125314	0.4017116631909093	0.39967118887404096	0.39764369702895497
5	0.22565682916445845	0.22372931842615318	0.22182278210575226	0.21993698659014804	0.21807170043947935	0.21622669438208011	0.21440174130893258	0.21259661626763557	0.21081109645588442	0.20904496121454572	0.20729799202026375
6	0.13052192303707005	0.12883603456547196	0.12717838761800496	0.12554848833602358	0.12394585047669443	0.12236999535548707	0.12082045178606567	0.11929675601789233	0.11779845167160075	0.1163250896723589	0.11487622818133325
7	0.0801564751674951	0.07869184038998045	0.07726234425550814	0.07586709266198581	0.07450521239328091	0.07317585080787296	0.07187817551992567	0.07061137407381454	0.06937465361307149	0.06816724054463816	0.06698838019932174
8	0.0517444938023988	0.05047133956591497	0.04923967784779608	0.04804805594268806	0.04689506928355026	0.04577936026775896	0.04469961707221604	0.043654572461877844	0.04264300259569236	0.04166372583356607	0.04071560154766201
9	0.03481837809788369	0.03370776519224312	0.03264437434871043	0.03162602596440821	0.030650637937471737	0.029716222159061015	0.028820881024964287	0.027962803980980153	0.027140264114369355	0.026351614801899487	0.025595286423409688
10	0.024257153499710457	0.023283820076248282	0.022362787020485914	0.02149097753102931	0.020665493565160852	0.01988360696545398	0.0191427507796267	0.01844051080904546	0.017774617413902846	0.01714293759658006	0.016543467379046516
11	0.01740311145345511	0.01654585491475835	0.015745329961027232	0.014997397353012526	0.01429822067303811	0.013644246554663121	0.013032185696954768	0.012458994729056976	0.011921858967656877	0.011418176090677749	0.010945540734673196
12	0.012802944018529227	0.01204422668476626	0.01134604656892203	0.010703047880260674	0.010110355873100175	0.00956353700874262	0.009058561485285188	0.008591768206594763	0.008159832201850185	0.007759734460805497	0.007388734115142541
13	0.009624804626990547	0.008950175339000362	0.008339294194648988	0.007785450871861613	0.007282659518316447	0.006825584788795282	0.0064094738741200166	0.006030094457146485	0.005683678402216068	0.005366870895895929	0.005076684700335627
14	0.007373200913393786	0.006770735360757351	0.006234669806516522	0.005756821497234128	0.005330050732134382	0.0049481326060988595	0.0046056421280068465	0.004297852084183314	0.004020642790566203	0.003770422753904686	0.0035440592138948224
15	0.005742513944123299	0.005202333739397364	0.004730684049306065	0.004317814775040534	0.003955420771993058	0.0036364319571193225	0.0033548305141619965	0.0031054929795027637	0.002884054700995764	0.002686794095779542	0.0025105342121863345
16	0.00453836462442692	0.004052243314541821	0.003636299990043297	0.0032791471888927544	0.0029713333855029495	0.002705016208241393	0.0024736863937828884	0.0022719365918495884	0.0020952690036056642	0.0019399361231122582	0.001802809363041551
17	0.0036337226324942543	0.0031947695791110712	0.0028271969024824145	0.00251793563271727	0.0022564357144050358	0.0020341788709425553	0.0018442803906237833	0.0016811664830265326	0.001540314547556532	0.0014180450284463552	0.0013113550997944777
18	0.002943542003889778	0.002545950841152194	0.0022205344907116663	0.0019525243276189755	0.0017303454139850811	0.001544917576511519	0.0013891037520794782	0.001257278455741262	0.0011449922470933944	0.0010487118124314523	0.0009656190060978027
19	0.002409641445311117	0.0020484902934468936	0.0017599364124892306	0.0015275187383301644	0.0013387330638057172	0.0011840627377946635	0.0010562415419362629	0.0009496980098389067	0.0008601387283164973	0.0007842366677262948	0.0007193981881008279
