"delta"	"Lambda=0.15"	"Lambda=0.3"	"Lambda=0.45"	"Lambda=0.6"	"Lambda=0.75"	"Lambda=0.9"	"Lambda=1.05"
1	0.045932287365270004	0.09186195738822847	0.1377890102925841	0.18371344630201847	0.2296352656401911	0.2755544685307298	0.3214710551972441
2	0.1186156101202984	0.23713146994989237	0.35554770526402635	0.4738644416265844	0.5920818043905285	0.7101999186983453	0.8282189094824749
3	0.17467954151616905	0.3489161919200705	0.522711633470973	0.6960675399191526	0.8689855765596042	1.0414674002854263	1.2135146596406636
4	0.21272416914339556	0.42450096234476986	0.6353366943100094	0.8452376237487733	1.0542099539938026	1.262259833612037	1.4693933570076854
5	0.2383482165513055	0.4752528505508468	0.710726977230867	0.9447835143939066	1.1774352247750388	1.4086947183617753	1.638574454672336
6	0.25595976452251923	0.5100829673642373	0.7623893044014683	1.0128981908805383	1.261628766398106	1.508599899775788	1.7538301938318033
7	0.26824683468287724	0.5343880598823908	0.7984483707186546	1.0604520776414972	1.320423113891253	1.578385042786702	1.8343610648445805
8	0.276806364518165	0.5513482385692692	0.8236532968819893	1.093748765057768	1.3616614286450168	1.6274176419941189	1.891043336899571
9	0.2826217727086552	0.562907335753667	0.8408855372865675	1.1165847524394534	1.3900328929804717	1.6612574167337406	1.9302853367703519
10	0.2863304893985371	0.5703182147622873	0.8519918117830619	1.1313794513595625	1.4085088489894921	1.6834072739348307	1.956101558166667
11	0.2883678681188433	0.5744334894022328	0.8582243249527859	1.1397674008628977	1.4190893167944552	1.6962162543564145	1.971173985285393
12	0.2890463078166273	0.5758639111923682	0.8604784879197537	1.1429153228416271	1.423199315339205	1.701354986649531	1.9774064870168404
13	0.28860037922988246	0.575067970608437	0.8594263293952276	1.1416986652520071	1.421907848557757	1.7000764165857118	1.976226579545893
14	0.2872135308149221	0.5724045622942467	0.8555943825289246	1.136803981893565	1.4160540582327374	1.6933650219393759	1.9687570009275885
15	0.28503440816399017	0.5681649875473469	0.8494107490104166	1.1287904511402806	1.4063226044214887	1.6820254753242896	1.95591709031243
16	0.2821870984856603	0.5625929499146524	0.841234366848495	1.1181279509285245	1.3932900961731916	1.6667369922135862	1.9384846274688006
17	0.2787776980492568	0.5558973209845613	0.8313736174478455	1.1052211616784813	1.3774543560836459	1.6480874337631206	1.9171344609900764
18	0.2748985927167452	0.5482604281444651	0.8200983566962238	1.0904250859092282	1.3592531824250627	1.6265950739369477	1.892463051104978
19	0.27063128919343277	0.5398435141202955	0.8076478069614251	1.07405518376267	1.3390765459454277	1.6027226817936386	1.8650042679176966
20	0.2660483100661998	0.5307903748493051	0.7942357909048342	1.0563940610143145	1.3172745953278484	1.5768867124901063	1.8352396407498341
21	0.2612144828294027	0.5212298217793147	0.7800542552121281	1.037695946197061	1.2941629833682873	1.5494633817714787	1.8036050836987694
22	0.25618783731845546	0.5112773873240865	0.7652756975116661	1.018189755208135	1.2700264882133512	1.5207927654326086	1.7704953975012234
23	0.2510202499303123	0.5010365431921956	0.7500548907593074	0.9980812557150122	1.245121553728347	1.4911816535243818	1.7362673773489385
24	0.24575793222719833	0.490599621853974	0.7345301832940191	0.9775546929672267	1.2196781896518574	1.4609056748327618	1.7012421130458317
25	0.2404418240797731	0.4800485580420485	0.7188245449325659	0.9567740977333975	1.1939014996226205	1.4302110042313403	1.6657068358980387
26	0.23510793334886995	0.4694555318784728	0.7030464779980385	0.935884430375886	1.1679730241304527	1.3993158710194171	1.6299165596271337
27	0.22978764910887028	0.45888356589381124	0.6872908691548459	0.9150126589712236	1.142052016841712	1.3684120058235356	1.5940956706701757
28	0.22450804437813193	0.448387106607646	0.6716398262273823	0.8942688280276344	1.1162767221529928	1.3376661042043914	1.5584395553402157
29	0.21929217599209863	0.43801260498527805	0.6561635200895842	0.8737471428008192	1.090765683075997	1.3072213394081311	1.5231162989004872
30	0.21415938892310454	0.42779910960860423	0.6409210512649869	0.8535270939544224	1.065619108648024	1.2771989572807902	1.4882684928060346
