"delta"	"PsiS=-1.30000"	"PsiS=-1.23249"	"PsiS=-1.20000"	"PsiS=-1.10000"	"PsiS=-1.00000"	"PsiS=-0.90000"	"PsiS=-0.80000"	"PsiS=-0.70000"	"PsiS=-0.60000"	"PsiS=-0.50000"
1	0.14910091250734875	0.14582834566218264	0.14410537962510908	0.1381577360938979	0.1311674141080547	0.1230520361008435	0.11374473181294412	0.10320273677430127	0.09141668131990312	0.07841958185374513
2	0.4541984031197803	0.44230699810320045	0.4361260328071172	0.4151684211693536	0.39119618107420095	0.36412013780816055	0.3339039279103928	0.30057658941213783	0.2642439882710328	0.22509769530509977
3	0.7401587470433321	0.7173516048306535	0.7056818678740475	0.6669111930411825	0.6238225597808223	0.5764519859077775	0.5249037105578026	0.4693568216635773	0.4100697870806937	0.34738223006509356
4	0.9534631035306994	0.9210676200723961	0.9046599921137823	0.8508533860973668	0.7921342814419763	0.728654875557715	0.6606319410766021	0.5883487567905317	0.5121553104098194	0.4324665434831354
5	1.104764045348305	1.065112969674683	1.04514787971967	0.9801618893969039	0.9099805547488153	0.8348347993557858	0.7550127000495713	0.6708590585880934	0.582773727649439	0.4912086257154387
6	1.2130369389605689	1.1681607745546643	1.1456365025536697	1.0726192492619704	0.9942191005341466	0.9107215503276278	0.8224628712015996	0.7298284697116831	0.633250371669313	0.5332038163923816
7	1.2917013803174906	1.243197251629438	1.218886406070812	1.1402253931047253	1.0559972246355454	0.9665289715615035	0.8721940989795227	0.7734100645565599	0.6706353092463258	0.5643656602269431
8	1.3491324183727986	1.2982722996098313	1.2727833550195327	1.190331785139646	1.1020922541249103	1.0084261635230487	0.9097391375911285	0.8064779744587428	0.6991272041842099	0.5882052729614894
9	1.390613279040299	1.3384392455034058	1.3122669798171231	1.2275163542139784	1.136704188125852	1.04022121972503	0.9385026313166828	0.8320242921048212	0.721298776055897	0.6068711897015652
10	1.4196306295055727	1.367014318486394	1.3405709515590831	1.2547562955474887	1.1625500528778243	1.0643674426927414	0.960670998308503	0.8519659320420647	0.7387954223049976	0.6217358606094321
11	1.4386076147806186	1.3862853477550927	1.3599189672228014	1.274081190005944	1.1814691301567088	1.0825164613433196	0.977709993558148	0.8675839481349439	0.7527142594679695	0.6337129692154703
12	1.4493147601634542	1.3979086263048663	1.3719142771693433	1.2869378739023867	1.1947604574854505	1.0958261543997252	0.990641314618567	0.8797674748076489	0.7638144123811643	0.6434333714730276
13	1.4531063679470597	1.4031375382881968	1.3777642012654425	1.2944009401095504	1.2033776039961026	1.105138364712955	1.0002022153320707	0.8891544745378888	0.7726383312570951	0.651346592142801
14	1.451060963229871	1.4029588705298717	1.378414154296408	1.2972987658386843	1.208045484935871	1.1110855728855171	1.0069413676711132	0.896216284474653	0.7795846774908202	0.6577818056153479
