"delta"	"omega=0.15"	"omega=0.3"	"omega=0.45"	"omega=0.6"	"omega=0.75"	"omega=0.9"
1	0.1457242227826945	0.14561827669765326	0.14551176481744701	0.1454047137757573	0.14529715080720018	0.14518910371666185
2	0.43376517164228723	0.4252527771245126	0.4170521049027908	0.4093128923147315	0.40213313049092947	0.395561267059056
3	0.6507058189797533	0.598547615555486	0.5613567023086531	0.5348815326529893	0.5153625562112609	0.5003529309630145
4	0.7211981379514182	0.622765323562622	0.5699123613991651	0.5361821536153599	0.5121451095039216	0.49381528299769645
5	0.6979526170359187	0.581920353070798	0.5244720523139994	0.4881248503083667	0.4622540949161795	0.44252492174086616
6	0.6426018620148122	0.5236348839136425	0.46573839960769814	0.4292572917787927	0.4033489923945202	0.383617851590526
7	0.5823388395362713	0.4659565582310254	0.40984018307655296	0.3746380738010526	0.34970977325774916	0.330763978194242
8	0.5260734515181461	0.41469820699413185	0.36142475982097255	0.3281521298670312	0.3046607203723416	0.28684737936792215
9	0.47624202628936	0.3708530335558674	0.32079863155178	0.289662731904113	0.26774253825528543	0.2511572898211874
10	0.4329753206699905	0.33378384679121714	0.28696308967263556	0.25794390692762253	0.23756685975737007	0.22218048727440198
11	0.3956266462572148	0.3024534209405964	0.25870852076615364	0.23168213270331822	0.21274818297541412	0.19847747500543728
12	0.3633644401404322	0.27584971050627616	0.23495206228086168	0.20975535044990484	0.19213912087087232	0.1788829671047978
13	0.3353909284459609	0.2531069318225353	0.21480890926612764	0.19127156624932298	0.17484490930284063	0.16250144233323938
14	0.3110105806458652	0.23351955597422563	0.19757954648624712	0.17553888368621548	0.1601809683292947	0.14865501514171148
15	0.2896404907442125	0.21652307784706903	0.18271655559812497	0.16202356516975946	0.14762474187791616	0.13683051462013096
16	0.2708002338729615	0.20166803657313498	0.1697915222854063	0.15031262351891642	0.13677529385898854	0.12663683430526798
17	0.2540961692406417	0.18859600521255704	0.1584675157328047	0.14008426295417442	0.12732238338028526	0.11777301377174512
18	0.23920585634689112	0.17701977317710926	0.14847763743355968	0.13108554466963898	0.11902357494688368	0.11000496797687953
19	0.22586446098262591	0.16670771649320312	0.13960872374234737	0.12311578257188606	0.11168747329235292	0.10314863330336975
20	0.21385352099157273	0.1574717065330949	0.13168907474796962	0.11601424368931193	0.10516144642266721	0.09705773338290236
21	0.20299189292606631	0.14915781684900042	0.12457921684882269	0.10965100824737523	0.09932258656320811	0.09161483575685614
22	0.19312854308229105	0.14163918670801945	0.1181649262342	0.1039201392575993	0.09407100653677904	0.08672475857603136
23	0.184136822341917	0.13481051645974887	0.11235192201208241	0.09873453328285149	0.08932481927766879	0.08230965820914987
24	0.1759099315015931	0.12858380923715518	0.10706180738473983	0.09402201110983607	0.08501634679392019	0.07830533553504453
25	0.1683573106931425	0.12288504842653619	0.10222893509585561	0.08972231914099621	0.0810892269873374	0.07465842835267865
26	0.16140175991826514	0.11765159290604675	0.09779797090999455	0.0857848115818956	0.07749618660554991	0.0713242573131401
27	0.15497713081055184	0.11283011977173549	0.0937219838942622	0.08216664306828356	0.07419731132000669	0.0682651578227724
28	0.14902646622151589	0.10837498823419808	0.08996093814513688	0.07883134775568512	0.07115869030405744	0.0654491765474576
29	0.14350049332546905	0.10424692877489966	0.08648049143682132	0.07574771220297924	0.0683513445029723	0.06284904344345492
30	0.13835639766775654	0.10041198904804798	0.0832510346782607	0.07288887739122328	0.06575037491260305	0.06044135635813134
