"delta"	"PiD=50."	"PiD=100."	"PiD=150."	"PiD=200."	"PiD=250."	"PiD=300."	"PiD=350."
1	0.59319167704414986	1.1863833540873854	1.7795750311834668	2.3727667082231117	2.9659583852216781	3.5591500622277519	4.1523417393249015
2	0.27803710549908347	0.55607421100548386	0.83411131651471464	1.1121484220071913	1.390185527501946	1.6682226330133439	1.9462597385146294
3	0.12969202490312035	0.25938404980678507	0.38907607470591149	0.51876809960936162	0.64846012452082182	0.77815214942587455	0.90784417432125259
4	0.06433143298812218	0.12866286597853807	0.19299429896889078	0.25732573195663819	0.32165716494901783	0.38598859794125408	0.45032003094262714
5	0.034328760556485666	0.068657521116394104	0.10298628167601588	0.13731504223729957	0.17164380279481039	0.20597256335715258	0.24030132391399678
6	0.019593382602201547	0.039186765205069452	0.058780147807354022	0.078373530411323913	0.09796691300998276	0.11756029561706737	0.13715367821834576
7	0.011837933032112443	0.023675866063675316	0.0355137990971318	0.047351732128524381	0.059189665161715849	0.07102759819468721	0.082865531225904287
8	0.0074956535742616709	0.014991307149232649	0.022486960722605881	0.029982614297803895	0.037478267872323815	0.044973921446789306	0.052469575022046846
9	0.0049326108659690807	0.0098652217325489041	0.014797832598079831	0.019730443464277889	0.024663054331778293	0.029595665198122688	0.034528276063621651
10	0.0033510042205385907	0.0067020084414081942	0.01005301266186641	0.013404016883001339	0.016755021103164671	0.02010602532400392	0.023457029545260239
11	0.0023378151705187241	0.0046756303412838431	0.0070134455123127484	0.0093512606829761677	0.011689075854000148	0.014026891024875566	0.016364706195211205
12	0.0016678888212082315	0.0033357776419954358	0.0050036664634485399	0.0066715552845280446	0.0083394441058902815	0.010007332926625246	0.011675221748504075
13	0.0012128294254971352	0.0024256588508473358	0.003638488276476293	0.0048513177013634217	0.0060641471271172422	0.0072769765523173673	0.0084898059779019166
14	0.00089649358575607933	0.0017929871714951274	0.0026894807572372402	0.0035859743431282173	0.0044824679290015592	0.005378961514681751	0.0062754551000629834
15	0.00067215628674744541	0.0013443125735047977	0.0020164688601509148	0.0026886251470340979	0.003360781433767735	0.0040329377205351073	0.0047050940072365506
16	0.00051027423379810997	0.0010205484675674047	0.0015308227013887567	0.0020410969351053279	0.0025513711688656876	0.003061645402711164	0.0035719196363131644
17	0.00039166950258953666	0.00078333900533669833	0.0011750085080010285	0.0015666780106057838	0.0019583475133440199	0.0023500170160777175	0.0027416865186080713
18	0.0003035996198024305	0.00060719923963160351	0.00091079885945367974	0.0012143984793062886	0.0015179980990402575	0.0018215977189372413	0.0021251973387706951
19	0.00023742118544120531	0.00047484237090007926	0.00071226355636269484	0.00094968474182068304	0.0011871059273130228	0.0014245271127226277	0.0016619482979925508
20	0.00018716215882392239	0.00037432431764967065	0.00056148647645903715	0.00074864863537206805	0.00093581079414554506	0.0011229729528076125	0.0013101351118491063
21	0.00014862757583828073	0.00029725515172291756	0.00044588272758205004	0.00059451030345249737	0.0007431378793135403	0.00089176545499351944	0.0010403930310250663
22	0.00011882675504522733	0.00023765351006255553	0.00035648026516157825	0.0004753070201916359	0.00059413377523265047	0.00071296053029863687	0.00083178728534901405
23	0.000095598918746985006	0.0001911978374714486	0.00028679675616418365	0.00038239567490914987	0.0004779945936452088	0.00057359351227193254	0.00066919243105336075
24	0.000077363956474201642	0.0001547279129313585	0.00023209186942591676	0.00030945582588546354	0.00038681978236167359	0.00046418373884106944	0.00054154769528312473
25	0.000062953691737753696	0.00012590738344234294	0.00018886107517974232	0.0002518147668862397	0.00031476845859721733	0.00037772215030953853	0.00044067584200864722
26	0.000051495879257185451	0.00010299175852157828	0.00015448763776870784	0.00020598351702062767	0.00025747939629546702	0.00030897527553568202	0.00036047115471826631
27	0.000042333326253572822	0.000084666652525486978	0.00012699997877237639	0.00016933330503382237	0.00021166663129365132	0.00025399995752752623	0.00029633328381807521
28	0.00003496676651819105	0.000069933533032577935	0.00010490029954492534	0.00013986706603802821	0.00017483383258697448	0.00020980059908652493	0.00024476736558495297
29	0.000029014029589786599	0.000058028059181843466	0.000087042088762686801	0.00011605611834921069	0.00014507014793860071	0.00017408417752614543	0.00020309820710687442
30	0.000024180535491509856	0.000048361070993331161	0.000072541606499722261	0.000096722141990550752	0.00012090267747247598	0.00014508321296271921	0.00016926374846599871
