"delta"	"PsiS=-1.3"	"PsiS=-1.23249"	"PsiS=-1.2"	"PsiS=-1.1"	"PsiS=-1."	"PsiS=-0.9"	"PsiS=-0.8"	"PsiS=-0.7"	"PsiS=-0.6"	"PsiS=-0.5"
1	4.1420472827827594	3.7993788329171328	3.6370311430858468	3.148841360135799	2.6801087591228918	2.2340194682691144	1.8143716399379573	1.4255835628469091	1.072631710095426	0.76090047070644739
2	1.9257903421582334	1.7808218413871019	1.7110323380827744	1.4970321481825351	1.2860050099105805	1.0805089791923722	0.88343276365640234	0.69795408476151878	0.52746242412210748	0.37544301194592749
3	0.89844960966955716	0.83067469296470154	0.79798386504765027	0.69757078601213801	0.59843511790631617	0.50193729471488239	0.40955429659798237	0.32284894470037118	0.24342701268856254	0.17288276867245625
4	0.44638452176168533	0.41204144211510555	0.39549917677544586	0.34480289116632971	0.29495400545279491	0.24665891293717118	0.20065944198185972	0.15771620290946727	0.11858811857719846	0.084008762119547041
5	0.23848319967571131	0.21987495857952178	0.21092179222063091	0.18353156034245389	0.15668100995839473	0.13075618339260135	0.10615330979538512	0.083269978307805841	0.062495043478120283	0.044197608003467334
6	0.13618074499205152	0.12549518279727806	0.1203546233182184	0.10463510015308246	0.089241259510022624	0.074399103722415724	0.060337171984132141	0.047281570188333187	0.035450546834143049	0.025048796431371328
7	0.082262219100824424	0.075821700138724664	0.072720519120775281	0.063228723413404412	0.053924990220255588	0.044950595321028463	0.036447147325427098	0.028553548857322353	0.021402786217735813	0.015118650425119495
8	0.052047169341484573	0.048009497641872819	0.046061629689250262	0.040086929938055742	0.034214703713339748	0.028538349327529583	0.023151127327643438	0.018144139391432284	0.01360424247287992	0.0096119608304778445
9	0.034205987466314222	0.031593266915710532	0.030329267193036056	0.026439316543844684	0.02259940912950028	0.018874148027213005	0.015328076499941283	0.012024227268745059	0.0090226482725392984	0.0063789477683320415
10	0.023197346093975931	0.021463112011412769	0.020621002406032991	0.018017958753564409	0.01543325627458853	0.01291317647062647	0.010504170419822679	0.0082517494804772489	0.0061993672848707834	0.0043873251759069512
11	0.016148606443336536	0.014973658848903203	0.014400533258998547	0.01261926157993004	0.010837556023082657	0.0090894526731803632	0.0074094011228746331	0.0058313748197076569	0.004387975096342773	0.0031095559273187069
12	0.011492077944645636	0.010682795417458107	0.010285923049902451	0.0090444643994807304	0.00779187498904572	0.0065536572989219484	0.0053559395918374743	0.0042247387392833039	0.0031852132270086909	0.0022609303958485606
13	0.0083330396536333976	0.0077681499000033963	0.0074894282480369226	0.0066110690468733849	0.0057159332029710093	0.0048233677809707981	0.0039535128502553543	0.0031266789953523967	0.0023627078740827068	0.0016803388663572581
14	0.0061405735554174006	0.0057420255788042513	0.0055440229411888787	0.0049148068861321694	0.0042663124401352076	0.0036133227390984496	0.0029715350791990278	0.0023570311002284083	0.0017857210855838807	0.0012727849996317741
15	0.0045887622799535394	0.0043051498247370048	0.0041631728800737067	0.0037077948599606849	0.0032325686069094213	0.0027488207815363309	0.0022688708137628082	0.0018055805245577503	0.0013718681240442701	0.00098020894510324609
16	0.0034715019493014012	0.0032682985182314406	0.003165724357500632	0.0028333646290502376	0.0024817425026488661	0.0021195256494734287	0.0017564157492209087	0.0014027690793467786	0.0010691716414292118	0.0007659908481873075
17	0.0026550089618435677	0.0025086375017419362	0.0024340810443347063	0.002189818390408603	0.0019275359366211432	0.0016538336804412005	0.0013763550943834797	0.001103472677403124	0.00084391875567420787	0.00060638278320185782
18	0.0020504182292826571	0.0019445515231903207	0.0018900994271230196	0.0017095611020044277	0.0015125820371925577	0.0013041436862581208	0.0010902542266905952	0.00087769422093508765	0.00067369923910514907	0.00048559947066742657
19	0.001597482598440755	0.0015206798089327342	0.0014807624234285102	0.0013467084200918883	0.0011979251931051174	0.0010381233450028502	0.00087200254469339447	0.00070505277058918363	0.00054328574584554918	0.00039291457312721884
20	0.0012546068654540893	0.0011987715736875658	0.0011694269227741298	0.0010695213027366722	0.00095660272980576482	0.00083338407292364828	0.00070351356169812905	0.00057142709967399896	0.00044212574325856897	0.00032089366995975679
21	0.00099260284407625973	0.00095195816643535518	0.00093034249347746227	0.00085567073413826927	0.00076962972254431272	0.00067415134776869636	0.00057203750052100167	0.00046685877814708698	0.00036277521408995995	0.00026429109618333975
22	0.00079068820990767737	0.00076108433871324024	0.00074514108873117949	0.00068920648502900751	0.00062342971751775072	0.0005491348531511393	0.00046844285290981114	0.00038421174781138106	0.00029989768539167003	0.00021934511488330134
23	0.00063387082564196632	0.00061231035624539566	0.000600542930128818	0.00055857666208941276	0.00050815657372426193	0.00045013770986246978	0.00038609452649109979	0.00031829743761646091	0.00024961103893154504	0.00018331806127670102
24	0.00051120723074112121	0.00049551564496986326	0.00048682932491969239	0.00045530954242085772	0.00041657767702447384	0.00037113107397181127	0.00032010748493088508	0.00026529279042184239	0.0002090530598677124	0.00015419051452150264
25	0.00041462367584219554	0.00040321805774484439	0.00039680874619619965	0.00037312118788540288	0.00034331792646578473	0.00030762772674489403	0.00026684156127646112	0.00022234636294959515	0.00017608740188194679	0.00013045432674555326
26	0.00033810573505692729	0.00032983088312196233	0.00032510599909703742	0.00030730184969307136	0.00028433987705469121	0.00025625130662194575	0.00022355404537115836	0.00018730744223803332	0.0001491013803361012	0.00011097028547178159
27	0.00027713346532985197	0.00027114481180841118	0.00026766654467193919	0.00025428798303252435	0.0002365810673052259	0.00021443576181867892	0.0001881572600025935	0.00015853700381220737	0.00012686484413929788	0.00009486876978847711
28	0.00022828265967706663	0.00022396205297718768	0.00022140633486514042	0.00021135976729640796	0.00019769762736657004	0.00018021281656016364	0.00015904710501104127	0.00013477398990948276	0.00010843033728654982	0.000081479459344020063
29	0.00018894003807565654	0.00018583481214105238	0.00018396146606225336	0.00017642471749131534	0.00016588077557299254	0.000152059816374624	0.00013498027035307377	0.00011503952604653206	0.000093061567158034596	0.000070280969743397214
30	0.0001570976257464195	0.00015487630937421209	0.00015350720457914871	0.00014786112370700749	0.00013972397848614241	0.00012878952811866758	0.00011498528089341308	0.000098567504790476427	0.000080181556156685473	0.000060864334870705013
