"delta"	"omega=0."	"omega=0.0005"	"omega=0.001"	"omega=0.0015"	"omega=0.002"	"omega=0.0025"	"omega=0.003"	"omega=0.0035"	"omega=0.004"	"omega=0.0045"	"omega=0.005"
1	3.8008741819550979	3.800386594726201	3.7998990764299287	3.7994116294612799	3.7989242519098279	3.7984369437384319	3.7979497055702113	3.7974625373269133	3.7969754384495014	3.7964884094363018	3.7960014504348067
2	1.786082507148793	1.7843486595278889	1.7826167322194513	1.7808867235973659	1.7791586313005676	1.7774324534676719	1.7757081880121257	1.7739858327487766	1.7722653858069423	1.770546845163642	1.7688302087168526
3	0.8373443292407245	0.83513968436519615	0.83294196473509593	0.83075114887835036	0.82856721591099263	0.82639014462442042	0.82421991406329607	0.82205650313492917	0.81989989088902297	0.81775005646230804	0.8156069789885984
4	0.41851506968682821	0.41636767299973197	0.41423394180845298	0.41211378929871306	0.41000712897303106	0.40791387477222481	0.40583394108749338	0.40376724273704449	0.40171369497872652	0.39967321341296457	0.3976457142549559
5	0.22565844566378857	0.22373092732140936	0.22182438298251202	0.21993857912245265	0.21807328426604295	0.21622826917656388	0.21440330676682331	0.21259817209266735	0.21081264236854963	0.20904649693331982	0.20729951729195709
6	0.13052320437847567	0.12883730713960264	0.12717965073331864	0.12554974132468475	0.12394709272037495	0.12237122628102602	0.12082167084014066	0.11929796269372494	0.11779964550895849	0.1163262702312603	0.11487739505914669
7	0.080157511487349664	0.078692867161096804	0.077263360303860592	0.075868096892022339	0.074506203817927042	0.073176828555253333	0.071879138770086423	0.070612322105984983	0.069375585781457811	0.068168156278944157	0.066989278992414464
8	0.051745346956248165	0.050472182586295361	0.049240508915272814	0.048048873466786249	0.046895871859527837	0.045780146687471086	0.044700386280023212	0.043655323564023416	0.042643734839207307	0.041664438593590758	0.040716294322129706
9	0.034819091431214349	0.033708467879999982	0.032645063825177691	0.031626700065524754	0.030651294842806183	0.029716860369251959	0.028821499315679061	0.027963401389120964	0.027140839896301672	0.026352168424801861	0.025595817522020616
10	0.024257757989971286	0.023284413457679313	0.022363365861488644	0.021491539058179684	0.020666035580365979	0.019884127772171314	0.019143249116484547	0.018440985786344982	0.017775068467321981	0.017143364434334139	0.016543869941202331
11	0.017403629784529882	0.016546361667689527	0.015745820738422137	0.014997868795889128	0.014298670297241077	0.013644672610082707	0.013032587043253031	0.012459370732976527	0.011922209407666882	0.011418501087999498	0.010945840672883124
12	0.012803393103649589	0.012044663686746154	0.011346466064862583	0.010703445986246433	0.010110729956592593	0.0095638854417604061	0.009058883438484444	0.0085920634784917823	0.0081601010742187161	0.007759977583360466	0.0073889524079190685
13	0.0096251972824957475	0.0089505553624449704	0.0083396550983700288	0.0077857883551082892	0.0072829709775395637	0.006825868913521272	0.0064097303305463931	0.0060303236277533583	0.0056838811842541765	0.0053670485401847133	0.0050768386887981648
14	0.0073735470446161497	0.0067710682493099542	0.0062349819058386157	0.0057571082372167205	0.0053303097360729095	0.0049483630797817216	0.0046058443923470279	0.0042980272156600732	0.0040207923562293295	0.0037705486087320489	0.0035441633582710194
15	0.0057428212797903635	0.0052026271612004822	0.0047309549893443193	0.004318058573297331	0.003955635489134729	0.0036366174928240391	0.0033549879625847841	0.0031056241644686873	0.0028841618479007605	0.0026868796027971803	0.0025106004972567389
16	0.0045386392816235145	0.00405250333016463	0.0036365358433840813	0.0032793543337715307	0.0029715105258521523	0.0027051640813834143	0.0024738069325251987	0.0022720323555439517	0.0020953428073271466	0.0019399907931655365	0.0018028475994484751
17	0.0036339695234879658	0.0031950010470551308	0.0028274025758748038	0.0025181112976006645	0.0022565809020845842	0.0020342952554913077	0.0018443707507970126	0.0016812340468356754	0.001540362598081639	0.0014180766787539028	0.001311373175757466
18	0.0029437651144840571	0.0025461576976135522	0.0022207140030717891	0.00195267283576612	0.0017304634315566305	0.0015450077602646158	0.0013891696751932237	0.0012573239003681915	0.0011450208180036951	0.0010487267496751639	0.00096562311572886865
19	0.0024098440319829481	0.002048675755874153	0.0017600930973362055	0.0015276437538276662	0.0013388280189773199	0.001184131263564026	0.001056287909305344	0.00094972640715404725	0.00086015292145729434	0.00078423987541510759	0.00071939307080341893
20	0.0019916219535566636	0.0016626964565203554	0.0014064413242268967	0.0012047444606306	0.0010442902872812769	0.00091525817733243169	0.00081037033958852379	0.00072420104013885633	0.00065267749676521182	0.00059271965995586549	0.00054197989791216521
21	0.0016602880858825935	0.0013600076731519307	0.0011321784512389043	0.00095708205661353832	0.00082071302476884355	0.00071307502863516187	0.00062698469884512467	0.0005572378694666377	0.00050002993898805596	0.00045255250169715395	0.00041271169598171432
22	0.0013950609332311558	0.001120324788695052	0.00091754845146112512	0.0007654807755197673	0.00064956065672415836	0.00055974121169821492	0.0004890262361360986	0.00043249147851297503	0.00038663043219363516	0.00034891556767122541	0.00031750227725215319
23	0.0011807310838301599	0.00092885319600323258	0.00074820166178454557	0.00061608344627660488	0.00051751985077884591	0.00044252951080117386	0.00038438032620365397	0.00033846915547462946	0.00030160227926827062	0.00027153034668451515	0.00024664506730745689
24	0.0010060180726597579	0.00077466068169884777	0.00061358265678453907	0.0004987546235132026	0.00041491806144607055	0.00035226119890456722	0.00030437647464354244	0.00026700722309770095	0.00023727453022315769	0.00021319564090783971	0.00019338021290329559
25	0.00086245253825974217	0.00064957186905779878	0.00050583695108977628	0.00040599944141753058	0.00033465490410750032	0.00028225131359587406	0.00024274989840794649	0.00021225197931501874	0.00018818554316758316	0.00016881678700170888	0.00015295199792184134
26	0.00074360363862614087	0.0005474054012602553	0.00041905793729738297	0.0003322202858264386	0.00027146913861050871	0.00022758743277070092	0.0001949343500523748	0.00016996917908188277	0.00015041164592510827	0.00013475561835187642	0.00012198166191919326
27	0.00064453725774371753	0.00046343995591536723	0.0003487607009408564	0.00027319849351166021	0.00022142894019647744	0.0001846300110402184	0.00015757453885169878	0.00013707065393175697	0.00012110979504822504	0.0001083905263752581	0.000098045687559566766
28	0.00056143090434542194	0.00039403541894455888	0.00029150947582687477	0.00022572823701421173	0.00018157298608532388	0.00015066209233975658	0.00012818620134728692	0.00011128636863298458	0.000098202876042687385	0.000087815784033209555	0.000079389461561668581
29	0.00049129654691595787	0.00033636079251554546	0.00024465063596694719	0.00018735481529055912	0.00014965484657539918	0.00012364110725458088	0.00010491672486291257	0.000090935065522373718	0.000080161157757606335	0.000071634167232956865	0.000064731042704867599
30	0.0004317788329047486	0.00028819651046081787	0.00020611915334844982	0.00015618551407307346	0.00012395904797667425	0.00010202128901341564	0.000086375041538590675	0.000074762460212319263	0.000065849221681869255	0.000058812686225741947	0.000053125483580249259
