"delta"	"Lambda=0.15"	"Lambda=0.3"	"Lambda=0.45"	"Lambda=0.6"	"Lambda=0.75"	"Lambda=0.9"	"Lambda=1.05"
1	0.045932294129510352	0.091861970899484825	0.13778903053526929	0.18371347325925419	0.2296352992959492	0.27555450886810411	0.32147110220065325
2	0.11861567453834714	0.23713159810448963	0.35554789647797109	0.47386469523155417	0.59208211970246708	0.71020029501886491	0.82821934619850757
3	0.17467974393038911	0.34891659338154461	0.52271223064572344	0.69606832947967172	0.86898655521836058	1.0414685647566763	1.2135160066749988
4	0.21272459547937457	0.42450180676716004	0.63533794864683171	0.84523927997925285	1.0542120041715944	1.262262269826056	1.4693961715241671
5	0.23834895252739893	0.47525430774138795	0.71072914111345846	0.94478637064140105	1.177438759291749	1.4086989172994203	1.6385793043281546
6	0.25596089371513584	0.51008520329502231	0.76239262502036245	1.012902574491603	1.2616341917000223	1.508606345883127	1.7538376401345765
7	0.26824843768418926	0.53439123474511964	0.79845308693909243	1.0604583051930653	1.3204308233869197	1.578394205381163	1.8343716520024118
8	0.2768085184344353	0.55135250570581743	0.82365963730490499	1.0937571396279457	1.3616717989989733	1.6274299703803998	1.8910575863752724
9	0.28262455042550313	0.56291284009142035	0.84089371812544777	1.116595560635176	1.3900462802854034	1.6612733358405082	1.9303037412329208
10	0.28633395787847325	0.57032508950276705	0.85200203173646384	1.131392956618707	1.4085255807833459	1.6834271745768907	1.9561245710406589
11	0.28837208635269322	0.57444185196382266	0.85823675928794863	1.1397838357478836	1.4191096823136046	1.6962404818586002	1.9712020073912496
12	0.28905132399350005	0.57587385763156484	0.86049328023321615	1.1429348781589609	1.4232235522398205	1.7013838251595817	1.9774398485665577
13	0.28860622733477982	0.57507956890806444	0.85944358163114378	1.1417214768569482	1.4219361265206921	1.7001100695667752	1.9762655176568462
14	0.28722022785645534	0.57241784680352841	0.85561414674705241	1.1368301198361886	1.4160864656503147	1.693403596293113	1.9688016413367185
15	0.28504195031401574	0.56817995139372195	0.84943301599505931	1.1288199045733627	1.4063591294412811	1.6820689588854691	1.955967421098955
16	0.28219545842280786	0.56260953960859897	0.84125905809246671	1.1181606174091052	1.3933306134867951	1.6667852378005393	1.9385404806201232
17	0.27878682320690465	0.55591543293066179	0.83140057978522066	1.1052568399590909	1.3774986177813021	1.6481401482244348	1.9171954994077623
18	0.27490840391434582	0.54827990583845141	0.82012735814101097	1.0904634702952252	1.3593008108518254	1.626651809352089	1.8925287582891192
19	0.27064168003932354	0.53986414689889378	0.80767853466279716	1.0740958612549137	1.3391270299561045	1.6027828308711579	1.8650739424161093
20	0.26605914817890016	0.53081190023071875	0.79426785453732335	1.0564365156735851	1.3173272955683372	1.5769495146134553	1.8353124027895384
21	0.26122561168045629	0.52125192907711252	0.78008719226093698	1.037739565999528	1.2942171405995865	1.5495279327359455	1.8036798863613446
22	0.25619907912258467	0.51129972331984765	0.76530898166985912	1.018233843061221	1.2700812368458561	1.5208580334465264	1.7705710450328508
23	0.25103141005932333	0.50105872088103839	0.75008794487859562	0.99812504656174318	1.2451759430021023	1.4912465043137802	1.7363425541284151
24	0.24576880325564963	0.49062122846617905	0.73456239132792115	0.97759736953487961	1.2197312031181355	1.4609688948148779	1.701315410387262
25	0.24045219161310857	0.48006916661992242	0.71885526919368818	0.95681481343394542	1.19395208362115	1.4302713344905859	1.6657767914453822
26	0.23511758103917715	0.46947471127399139	0.70307507408620994	0.93592232910277323	1.1680201124086736	1.3993720366857031	1.6299816914746778
27	0.22979636455867903	0.45890089253906049	0.68731670356519887	0.91504689852279711	1.1420945597294196	1.3684627510319101	1.5941545179881926
28	0.22451562413168941	0.44840217448610162	0.67166229128075789	0.89429859997979706	1.1163137113972033	1.3377102217993986	1.5584907129994521
29	0.21929843059882206	0.43802503577009745	0.65618204917080498	0.87377169284196319	1.0907961772812472	1.3072577015216547	1.5231584531949583
30	0.21416414697247579	0.42780856071392346	0.64093513086205209	0.85354573790793788	1.0656422532478332	1.2772265392356594	1.4883004492368844
