"delta"	"PsiS=-1.3"	"PsiS=-1.23249"	"PsiS=-1.2"	"PsiS=-1.1"	"PsiS=-1."	"PsiS=-0.9"	"PsiS=-0.8"	"PsiS=-0.7"	"PsiS=-0.6"	"PsiS=-0.5"
1	0.14910093556180731	0.14582836708188939	0.14410540028249114	0.13815775450106535	0.13116743040254065	0.12305205040512958	0.11374474423946353	0.10320274742504444	0.091416690282316607	0.078419589204455308
2	0.45419865690103539	0.4423072351253101	0.43612626194735672	0.41516862678879551	0.39119636423025258	0.36412029949616418	0.33390406903949957	0.30057671089153362	0.26424409084596264	0.22509777967637352
3	0.74015961564511353	0.7173524178013897	0.7056826546343631	0.66691190122869487	0.62382319251040214	0.57645254618277071	0.52490420099463673	0.46935724486847144	0.41007014532997856	0.34738252537981431
4	0.953465024680662	0.92106941998943106	0.90466173482737339	0.85085495710388469	0.7921356872581192	0.72865612225587505	0.66063303421928737	0.58834970153353149	0.51215611131407121	0.43246720464961166
5	1.1047674682204439	1.0651161779581002	1.0451509867381595	0.98016469216986525	0.90998306454957762	0.83483702668907041	0.75501465463016612	0.67086074893364586	0.58277516174605101	0.49120981028891272
6	1.2130423098553988	1.1681658100111587	1.1456413793596952	1.072623649925598	0.99422304233961571	0.91072504934165377	0.82246594224603	0.72983112633997637	0.6332526260623069	0.53320567873666351
7	1.2917091339984671	1.2432045226291098	1.2188934490042131	1.1402317494806697	1.0560029187450948	0.96653402600459349	0.87219853527837661	0.77341390200659695	0.67063856546010252	0.56436835021610155
8	1.3491429705325283	1.2982821997243435	1.2727929461624459	1.190340444524517	1.1021000122378962	1.0084330502527842	0.90974518155996622	0.80648320189313947	0.6991316390254261	0.58820893589924634
9	1.3906270196247378	1.3384521481884404	1.3122794838387535	1.2275276519446753	1.1367143139160874	1.0402302093416743	0.93851052043712316	0.83203111459162903	0.72130456295475704	0.60687596856506706
10	1.419647910787564	1.3670305692180851	1.3405867090752916	1.2547705514475523	1.1625628399457723	1.0643787997745438	0.96068096643941079	0.85197455190073276	0.73880273251218312	0.62174189600248948
11	1.4386287386267345	1.3863052536020357	1.3599382854621291	1.2740987035222272	1.181484860477063	1.0825304434895097	0.97772227006525932	0.86759456536108795	0.7527232627029034	0.63372040088876509
12	1.4493399584158333	1.3979324425738884	1.3719374185981241	1.2869589164193345	1.1947793959886278	1.0958430098670648	0.9906561248521843	0.87978028697938147	0.76382527701551354	0.64344233834009668
13	1.4531357831923094	1.4031654520231914	1.377791369458279	1.2944257460870208	1.2033999942783192	1.1051583300116867	1.0002197784492267	0.88916967705401578	0.77265122482270271	0.65135723286465397
14	1.4510946296036863	1.4029909852185162	1.3784454784493851	1.2973275222343918	1.2080715416026369	1.1111088688843488	1.0069618939617254	0.8962340685241605	0.77959976712617969	0.65779425906652804
15	1.444105081434704	1.3982130046422154	1.3746658218737067	1.2963244524738955	1.2093628748340057	1.1141841566373273	1.0113022967725851	0.90133088548496978	0.78497121880898786	0.66300026249448429
16	1.4329197914628561	1.3895057513810081	1.367091613018639	1.2919585051182817	1.2077333733665165	1.1147735242392754	1.0135704620568635	0.90473762343954914	0.78899685964745665	0.66716427960942324
17	1.4181899557684812	1.3774479847069472	1.3562691770981333	1.2846860684772038	1.2035636578985758	1.1131943764176946	1.0140310407142025	0.90667440623009424	0.791858385951679	0.67043381246727569
18	1.4004876765776799	1.3625454533227664	1.3426743792451592	1.2748997833807242	1.1971762943453177	1.1097113619727735	1.012901211492314	0.9073193467658268	0.79370116409441004	0.6729259155631486
19	1.3803206708600025	1.34524586621576	1.3267276268335384	1.2629433606378548	1.1888500010508884	1.1045496258439026	1.0103627380077864	0.90681923743545151	0.79464347266200538	0.67473492707907213
20	1.3581420796085036	1.3259489742180393	1.3088040431783319	1.2491218015558965	1.1788295667924759	1.0979041443000225	1.0065705020466095	0.90529715246725331	0.79478306820293864	0.67593796445253598
21	1.3343571522523064	1.3050134564300751	1.2892404343553341	1.233708491889646	1.1673328458316332	1.0899463869699821	1.0016586449937019	0.90285792953821438	0.79420194454331561	0.6765989120220918
22	1.3093279576816643	1.2827617259991252	1.2683401530588862	1.2169502017528249	1.1545557524773042	1.0808291260389888	0.99574504145840241	0.89959219350784639	0.7929698263701017	0.67677134755399097
23	1.2833768825629016	1.2594833767489661	1.2463765561193543	1.1990706351472533	1.1406758539143285	1.0706899539460753	0.98893460567025597	0.89557934842484539	0.79114678248991033	0.67650073785821418
24	1.256789412785103	1.2354377755059464	1.2235955680248564	1.1802729990958578	1.1258549803182123	1.0596538634917849	0.98132174678152654	0.89088982175131864	0.78878519217429325	0.67582609323178731
25	1.2298165387875027	1.2108561404792798	1.2002176623351997	1.1607418929165166	1.1102411327117617	1.0478351665565608	0.97299221857729044	0.88558676763421346	0.78593124716710539	0.67478123872169981
