"delta"	"omega=0."	"omega=0.0005"	"omega=0.001"	"omega=0.0015"	"omega=0.002"	"omega=0.0025"	"omega=0.003"	"omega=0.0035"	"omega=0.004"	"omega=0.0045"	"omega=0.005"
1	0.14582959849361118	0.14582924832228036	0.14582889814549148	0.14582854795771362	0.14582819776591008	0.14582784756647527	0.14582749736085486	0.14582714714825641	0.14582679692775391	0.1458264466978425	0.1458260964688207
2	0.44239496206789111	0.44236624424485273	0.44233752527729611	0.44230880516385504	0.44228008389754691	0.44225136149461389	0.44222263797360038	0.44219391332662145	0.44216518758073079	0.44213646072756612	0.44210773278910888
3	0.71808630139328689	0.7178446903668836	0.71760313970270413	0.71736164998041945	0.71712022195026445	0.71687885625127035	0.71663755352752755	0.71639631445013021	0.71615513964876268	0.71591402982079956	0.71567298560032232
4	0.92374836254185561	0.92286472614373838	0.92198210858520966	0.92110051850308066	0.92021996435835388	0.91934045463031087	0.91846199765088371	0.91758460172679889	0.91670827507335911	0.91583302577664103	0.91495886202479945
5	1.0716338080352291	1.0694796319767087	1.0673315797107847	1.0651896954153555	1.0630540219087904	1.0609246012304677	1.0588014743498963	1.0566846812002299	1.0545742607421622	1.0524702509213492	1.0503726887307273
6	1.180772357260183	1.1765942400651579	1.1724387096683096	1.1683058852395737	1.1641958789795397	1.160108796041408	1.1560447345716265	1.1520037859764857	1.1479860349351757	1.1439915594108917	1.1400204308745816
7	1.2643360016127167	1.2573070918685772	1.2503406305123182	1.243436765460338	1.2365956127053062	1.2298172569201834	1.2231017517136096	1.2164491215885927	1.2098593620005844	1.2033324406902338	1.1968682982215473
8	1.3304523374899205	1.3197027890551369	1.3090961716778585	1.2986322476177745	1.2883106706568374	1.2781309920359537	1.2680926645424942	1.2581950484285447	1.2484374158419811	1.2388189558505085	1.2293387793156328
9	1.3841798286264895	1.3688156103604925	1.3537378678806294	1.3389446290246907	1.3244336331374395	1.3102023535637027	1.2962480182771709	1.2825676314989995	1.2691579927973646	1.2560157172407979	1.2431372531493811
10	1.428786692040987	1.4079023130767021	1.3875384944890189	1.3676883071565761	1.3483441842705557	1.3294979960651793	1.3111411210305918	1.2932645132196208	1.2758587662009613	1.2589141723257872	1.2424207787498987
11	1.4664714210664995	1.4391592682327151	1.4127244692116919	1.3871486471112372	1.3624122313970877	1.3384946724391021	1.3153746397484073	1.293030204563127	1.2714390055952827	1.250578400416089	1.2304255996985384
12	1.4987679236283576	1.4641255378991599	1.4308763875043699	1.398978983493278	1.3683899609739229	1.3390646125374885	1.3109573648043958	1.2840221994290077	1.2582130207705654	1.2334839741853634	1.2097897172332147
13	1.526780670763638	1.483916662207044	1.4431608548263684	1.4044293721772069	1.3676360012495943	1.3326933715150966	1.2995139629192495	1.2680109513984744	1.2380989077302736	1.2096943623113315	1.1827162516441741
14	1.551326591268214	1.4993655885001923	1.450469773308633	1.4044830256592	1.3612475028647315	1.3206059900655418	1.2824037971312363	1.2464902482666907	1.2127198165914188	1.1809529500553862	1.1510566394905672
15	1.5730239486803683	1.5111108272925568	1.4535070279167695	1.3999402954229267	1.3501400213450696	1.3038415074554835	1.2607891600976089	1.2207387721209846	1.1834590455007493	1.1487324954434881	1.1163558638121219
16	1.5923499778192024	1.5196535179763334	1.4528441877686098	1.3914718032435779	1.3350968758681433	1.2832976813439565	1.2356750419961838	1.1918552600863907	1.1514916055524015	1.1142647015231726	1.0798821105302608
17	1.609679402861073	1.5253954750654428	1.4489572604940292	1.3796527777758337	1.3168001341057337	1.259758220140071	1.2079329077414279	1.1607798380211037	1.1178047319233827	1.0785619793162341	1.0426521034670265
18	1.6253108713580229	1.5286652175060509	1.4422514878227152	1.3649856161575218	1.295850329662429	1.233909739973395	1.1783157440213675	1.1283086706880075	1.0832141142615881	1.0424374382167141	1.0054570261726867
19	1.6394855442745228	1.5297362007001633	1.4330784012770731	1.3479149283616335	1.2727792318495844	1.2063528037106775	1.1474686624888539	1.0951059397280482	1.04837927873455	1.006525657780746	0.96889037830663791
